 N:  Integral:  Variance: CPU_time
                  10        0.0651481251     0.0008807317546       0.02900000254
                 100        0.2888901166       0.01116063313       0.01999999222
                1000        0.1969881486      0.001153176935        0.1799999882
               10000        0.1866035505     8.722966418e-05         1.585000005
              100000        0.1892428135     7.976382528e-06         15.93000001
             1000000        0.1921487196     1.000183317e-06             161.236
            10000000         0.192978388     1.067316675e-07            1584.266
           100000000        0.1925869581     1.060435914e-08            15864.17
