 N:  Integral:  Variance:  CPU_time  CPU_time_par 
                  10      0.000261139109     1.245191344e-11       0.04405499931        0.2660789978
                 100       0.01626086432     3.495612639e-07       0.06815500092       0.06259299698
                1000        0.7513699491      0.007792213597        0.1786570028        0.2263399983
               10000        0.1348867675      0.000835938176         1.817404001        0.9600810008
              100000        0.1640351538      0.002718721054            17.42566            9.043037
             1000000        0.2242974901       0.07123569759          133.974109           76.373171
            10000000        0.1909688559       0.01656668544         1330.687485          669.766993
           100000000        0.1921421472       0.02307796868         13263.12121         6641.945984
