 N:  Integral:  Variance:  CPU_time  CPU_time_par 
                  10       0.02657075617      6.31596687e-06       0.04062900189        0.2881020009
                 100        0.1569191216      0.001094985744       0.08839000293       0.05927899838
                1000         0.374341561       0.04615576705        0.5969729973        0.3023460013
               10000        0.1828584709      0.007475560468         1.930369002         1.325843001
              100000        0.1896465845       0.01212957269           18.249579         9.586290002
             1000000        0.1882911121       0.02874345102          132.855473           76.126131
            10000000        0.1881760792       0.02291648905         1324.157859          666.888575
           100000000        0.1884669998       0.02431901333         15000.75819         6620.002053
